date,store_id,product_id,category,price,promotion,day_of_week,is_weekend,holiday,stock_available,units_sold
2024-02-21,S001,P001,Dairy,50.0,0,2,0,0,214,77
2024-02-22,S001,P001,Dairy,50.0,0,3,0,0,142,85
2024-02-23,S001,P001,Dairy,50.0,0,4,0,1,211,86
2024-02-24,S001,P001,Dairy,50.0,0,5,1,0,188,95
2024-02-25,S001,P001,Dairy,50.0,0,6,1,0,208,101
2024-02-26,S001,P001,Dairy,52.5,0,0,0,0,130,70
2024-02-27,S001,P001,Dairy,50.0,0,1,0,0,196,76
2024-02-28,S001,P001,Dairy,50.0,0,2,0,0,218,76
2024-02-29,S001,P001,Dairy,50.0,0,3,0,0,241,78
2024-03-01,S001,P001,Dairy,50.0,0,4,0,0,142,82
2024-03-02,S001,P001,Dairy,50.0,0,5,1,0,216,88
2024-03-03,S001,P001,Dairy,50.0,0,6,1,0,204,104
2024-03-04,S001,P001,Dairy,50.0,0,0,0,0,207,71
2024-03-05,S001,P001,Dairy,50.0,0,1,0,0,234,77
2024-03-06,S001,P001,Dairy,50.0,0,2,0,0,183,74
2024-03-07,S001,P001,Dairy,50.0,0,3,0,0,156,81
2024-03-08,S001,P001,Dairy,50.0,0,4,0,0,155,73
2024-03-09,S001,P001,Dairy,45.0,0,5,1,0,225,110
2024-03-10,S001,P001,Dairy,50.0,0,6,1,0,274,108
2024-03-11,S001,P001,Dairy,50.0,0,0,0,0,232,71
2024-03-12,S001,P001,Dairy,50.0,0,1,0,0,184,158
2024-03-13,S001,P001,Dairy,50.0,0,2,0,0,133,77
2024-03-14,S001,P001,Dairy,50.0,0,3,0,1,53,53
2024-03-15,S001,P001,Dairy,50.0,0,4,0,0,182,82
2024-03-16,S001,P001,Dairy,50.0,0,5,1,0,249,89
2024-03-17,S001,P001,Dairy,50.0,0,6,1,0,252,105
2024-03-18,S001,P001,Dairy,50.0,0,0,0,0,143,71
2024-03-19,S001,P001,Dairy,50.0,0,1,0,1,139,79
2024-03-20,S001,P001,Dairy,50.0,0,2,0,0,132,75
2024-03-21,S001,P001,Dairy,50.0,0,3,0,0,148,72
2024-03-22,S001,P001,Dairy,50.0,0,4,0,0,210,82
2024-03-23,S001,P001,Dairy,50.0,0,5,1,0,200,85
2024-03-24,S001,P001,Dairy,52.5,0,6,1,0,267,83
2024-03-25,S001,P001,Dairy,50.0,0,0,0,0,243,85
2024-03-26,S001,P001,Dairy,50.0,0,1,0,0,215,76
2024-03-27,S001,P001,Dairy,50.0,0,2,0,0,185,76
2024-03-28,S001,P001,Dairy,50.0,0,3,0,0,223,85
2024-03-29,S001,P001,Dairy,50.0,0,4,0,0,198,88
2024-03-30,S001,P001,Dairy,50.0,0,5,1,0,279,98
2024-03-31,S001,P001,Dairy,40.0,1,6,1,0,172,172
2024-04-01,S001,P001,Dairy,50.0,0,0,0,0,165,75
2024-04-02,S001,P001,Dairy,50.0,0,1,0,0,151,75
2024-04-03,S001,P001,Dairy,50.0,0,2,0,0,183,83
2024-04-04,S001,P001,Dairy,52.5,0,3,0,0,185,71
2024-04-05,S001,P001,Dairy,50.0,0,4,0,0,147,87
2024-04-06,S001,P001,Dairy,50.0,0,5,1,0,220,99
2024-04-07,S001,P001,Dairy,50.0,0,6,1,0,167,102
2024-04-08,S001,P001,Dairy,47.5,0,0,0,0,189,84
2024-04-09,S001,P001,Dairy,50.0,0,1,0,0,158,76
2024-04-10,S001,P001,Dairy,50.0,0,2,0,0,228,74
2024-04-11,S001,P001,Dairy,50.0,0,3,0,0,193,78
2024-04-12,S001,P001,Dairy,50.0,0,4,0,0,197,71
2024-04-13,S001,P001,Dairy,50.0,0,5,1,0,239,92
2024-04-14,S001,P001,Dairy,50.0,0,6,1,0,269,96
2024-04-15,S001,P001,Dairy,50.0,0,0,0,0,167,76
2024-04-16,S001,P001,Dairy,50.0,0,1,0,0,218,83
2024-04-17,S001,P001,Dairy,50.0,0,2,0,0,213,71
2024-04-18,S001,P001,Dairy,50.0,0,3,0,0,142,77
2024-04-19,S001,P001,Dairy,50.0,0,4,0,0,134,79
2024-04-20,S001,P001,Dairy,50.0,0,5,1,0,187,100
2024-04-21,S001,P001,Dairy,50.0,0,6,1,0,223,101
2024-04-22,S001,P001,Dairy,50.0,0,0,0,0,137,90
2024-04-23,S001,P001,Dairy,50.0,0,1,0,0,238,82
2024-04-24,S001,P001,Dairy,50.0,0,2,0,0,190,77
2024-04-25,S001,P001,Dairy,50.0,0,3,0,0,175,76
2024-04-26,S001,P001,Dairy,50.0,0,4,0,0,127,90
2024-04-27,S001,P001,Dairy,40.0,1,5,1,0,247,202
2024-04-28,S001,P001,Dairy,50.0,0,6,1,0,277,99
2024-04-29,S001,P001,Dairy,50.0,0,0,0,0,205,79
2024-04-30,S001,P001,Dairy,50.0,0,1,0,0,163,82
2024-05-01,S001,P001,Dairy,50.0,0,2,0,0,133,77
2024-05-02,S001,P001,Dairy,50.0,0,3,0,0,192,73
2024-05-03,S001,P001,Dairy,50.0,0,4,0,0,189,68
2024-05-04,S001,P001,Dairy,50.0,0,5,1,0,209,87
2024-05-05,S001,P001,Dairy,45.0,0,6,1,0,215,123
2024-05-06,S001,P001,Dairy,50.0,0,0,0,0,242,78
2024-05-07,S001,P001,Dairy,50.0,0,1,0,0,160,74
2024-05-08,S001,P001,Dairy,45.0,0,2,0,0,139,95
2024-05-09,S001,P001,Dairy,50.0,0,3,0,0,230,75
2024-05-10,S001,P001,Dairy,50.0,0,4,0,0,173,82
2024-05-11,S001,P001,Dairy,50.0,0,5,1,0,262,92
2024-05-12,S001,P001,Dairy,50.0,0,6,1,0,201,101
2024-05-13,S001,P001,Dairy,50.0,0,0,0,0,131,78
2024-05-14,S001,P001,Dairy,50.0,0,1,0,0,182,83
2024-05-15,S001,P001,Dairy,52.5,0,2,0,0,170,76
2024-05-16,S001,P001,Dairy,50.0,0,3,0,0,206,88
2024-05-17,S001,P001,Dairy,50.0,0,4,0,0,206,91
2024-05-18,S001,P001,Dairy,50.0,0,5,1,0,269,91
2024-05-19,S001,P001,Dairy,50.0,0,6,1,0,186,107
2024-05-20,S001,P001,Dairy,52.5,0,0,0,0,233,187
2024-05-21,S001,P001,Dairy,50.0,0,1,0,1,192,74
2024-05-22,S001,P001,Dairy,45.0,0,2,0,0,216,89
2024-05-23,S001,P001,Dairy,50.0,0,3,0,0,207,81
2024-05-24,S001,P001,Dairy,50.0,0,4,0,0,167,79
2024-05-25,S001,P001,Dairy,40.0,1,5,1,0,10,10
2024-05-26,S001,P001,Dairy,50.0,0,6,1,0,203,104
2024-05-27,S001,P001,Dairy,50.0,0,0,0,0,136,80
2024-05-28,S001,P001,Dairy,50.0,0,1,0,0,177,76
2024-05-29,S001,P001,Dairy,50.0,0,2,0,0,231,71
2024-05-30,S001,P001,Dairy,45.0,0,3,0,0,182,88
2024-05-31,S001,P001,Dairy,50.0,0,4,0,0,161,86
2024-06-01,S001,P001,Dairy,50.0,0,5,1,0,42,42
2024-06-02,S001,P001,Dairy,50.0,0,6,1,0,251,99
2024-06-03,S001,P001,Dairy,50.0,0,0,0,0,173,76
2024-06-04,S001,P001,Dairy,50.0,0,1,0,0,139,79
2024-06-05,S001,P001,Dairy,40.0,1,2,0,0,217,167
2024-06-06,S001,P001,Dairy,50.0,0,3,0,0,150,76
2024-06-07,S001,P001,Dairy,45.0,0,4,0,0,231,97
2024-06-08,S001,P001,Dairy,50.0,0,5,1,0,260,96
2024-06-09,S001,P001,Dairy,50.0,0,6,1,0,281,101
2024-06-10,S001,P001,Dairy,40.0,1,0,0,0,183,173
2024-06-11,S001,P001,Dairy,50.0,0,1,0,0,177,76
2024-06-12,S001,P001,Dairy,52.5,0,2,0,0,135,73
2024-06-13,S001,P001,Dairy,50.0,0,3,0,0,213,79
2024-06-14,S001,P001,Dairy,50.0,0,4,0,0,183,79
2024-06-15,S001,P001,Dairy,50.0,0,5,1,0,278,99
2024-06-16,S001,P001,Dairy,50.0,0,6,1,0,189,99
2024-06-17,S001,P001,Dairy,50.0,0,0,0,0,155,80
2024-06-18,S001,P001,Dairy,50.0,0,1,0,0,240,84
2024-06-19,S001,P001,Dairy,50.0,0,2,0,0,240,70
2024-06-20,S001,P001,Dairy,47.5,0,3,0,0,179,82
2024-06-21,S001,P001,Dairy,50.0,0,4,0,0,197,68
2024-06-22,S001,P001,Dairy,50.0,0,5,1,0,226,92
2024-06-23,S001,P001,Dairy,50.0,0,6,1,0,259,111
2024-06-24,S001,P001,Dairy,45.0,0,0,0,0,239,89
2024-06-25,S001,P001,Dairy,50.0,0,1,0,1,187,78
2024-06-26,S001,P001,Dairy,50.0,0,2,0,0,137,74
2024-06-27,S001,P001,Dairy,50.0,0,3,0,0,225,81
2024-06-28,S001,P001,Dairy,50.0,0,4,0,0,235,83
2024-06-29,S001,P001,Dairy,50.0,0,5,1,0,241,96
2024-06-30,S001,P001,Dairy,50.0,0,6,1,0,274,107
2024-07-01,S001,P001,Dairy,50.0,0,0,0,0,216,77
2024-07-02,S001,P001,Dairy,50.0,0,1,0,0,173,160
2024-07-03,S001,P001,Dairy,50.0,0,2,0,0,153,73
2024-07-04,S001,P001,Dairy,50.0,0,3,0,0,187,75
2024-07-05,S001,P001,Dairy,40.0,1,4,0,0,194,176
2024-07-06,S001,P001,Dairy,50.0,0,5,1,0,20,20
2024-07-07,S001,P001,Dairy,50.0,0,6,1,1,171,106
2024-07-08,S001,P001,Dairy,50.0,0,0,0,0,220,70
2024-07-09,S001,P001,Dairy,50.0,0,1,0,0,175,78
2024-07-10,S001,P001,Dairy,50.0,0,2,0,0,193,79
2024-07-11,S001,P001,Dairy,50.0,0,3,0,0,132,72
2024-07-12,S001,P001,Dairy,50.0,0,4,0,0,198,79
2024-07-13,S001,P001,Dairy,50.0,0,5,1,0,259,94
2024-07-14,S001,P001,Dairy,50.0,0,6,1,0,251,99
2024-07-15,S001,P001,Dairy,50.0,0,0,0,0,129,80
2024-07-16,S001,P001,Dairy,50.0,0,1,0,0,242,76
2024-07-17,S001,P001,Dairy,50.0,0,2,0,0,208,71
2024-07-18,S001,P001,Dairy,50.0,0,3,0,0,137,81
2024-07-19,S001,P001,Dairy,50.0,0,4,0,0,135,86
2024-07-20,S001,P001,Dairy,50.0,0,5,1,0,225,95
2024-07-21,S001,P001,Dairy,50.0,0,6,1,0,246,94
2024-07-22,S001,P001,Dairy,47.5,0,0,0,0,179,80
2024-07-23,S001,P001,Dairy,50.0,0,1,0,0,154,82
2024-07-24,S001,P001,Dairy,50.0,0,2,0,0,199,79
2024-07-25,S001,P001,Dairy,50.0,0,3,0,0,209,82
2024-07-26,S001,P001,Dairy,50.0,0,4,0,0,162,75
2024-07-27,S001,P001,Dairy,50.0,0,5,1,0,220,93
2024-07-28,S001,P001,Dairy,50.0,0,6,1,0,284,100
2024-07-29,S001,P001,Dairy,45.0,0,0,0,0,153,98
2024-07-30,S001,P001,Dairy,50.0,0,1,0,0,143,75
2024-07-31,S001,P001,Dairy,50.0,0,2,0,0,204,92
2024-08-01,S001,P001,Dairy,50.0,0,3,0,0,196,78
2024-08-02,S001,P001,Dairy,50.0,0,4,0,0,8,8
2024-08-03,S001,P001,Dairy,50.0,0,5,1,0,256,88
2024-08-04,S001,P001,Dairy,50.0,0,6,1,0,281,103
2024-08-05,S001,P001,Dairy,50.0,0,0,0,0,152,86
2024-08-06,S001,P001,Dairy,50.0,0,1,0,0,174,85
2024-08-07,S001,P001,Dairy,50.0,0,2,0,0,156,72
2024-08-08,S001,P001,Dairy,50.0,0,3,0,0,149,78
2024-08-09,S001,P001,Dairy,50.0,0,4,0,0,170,72
2024-08-10,S001,P001,Dairy,50.0,0,5,1,0,168,97
2024-08-11,S001,P001,Dairy,50.0,0,6,1,0,307,104
2024-08-12,S001,P001,Dairy,50.0,0,0,0,0,135,84
2024-08-13,S001,P001,Dairy,50.0,0,1,0,0,179,81
2024-08-14,S001,P001,Dairy,50.0,0,2,0,0,242,81
2024-08-15,S001,P001,Dairy,42.0,1,3,0,0,52,52
2024-08-16,S001,P001,Dairy,50.0,0,4,0,0,204,79
2024-08-17,S001,P001,Dairy,47.5,0,5,1,0,260,98
2024-08-18,S001,P001,Dairy,50.0,0,6,1,0,201,101
2024-08-19,S001,P001,Dairy,50.0,0,0,0,0,140,77
2024-08-20,S001,P001,Dairy,50.0,0,1,0,0,132,82
2024-08-21,S001,P001,Dairy,52.5,0,2,0,0,235,62
2024-08-22,S001,P001,Dairy,45.0,0,3,0,0,227,97
2024-08-23,S001,P001,Dairy,50.0,0,4,0,0,217,77
2024-08-24,S001,P001,Dairy,50.0,0,5,1,0,156,102
2024-08-25,S001,P001,Dairy,50.0,0,6,1,0,273,100
2024-08-26,S001,P001,Dairy,50.0,0,0,0,0,207,81
2024-08-27,S001,P001,Dairy,50.0,0,1,0,0,243,154
2024-08-28,S001,P001,Dairy,50.0,0,2,0,0,212,72
2024-08-29,S001,P001,Dairy,50.0,0,3,0,0,214,187
2024-08-30,S001,P001,Dairy,50.0,0,4,0,0,162,86
2024-08-31,S001,P001,Dairy,50.0,0,5,1,0,205,103
2024-09-01,S001,P001,Dairy,47.5,0,6,1,0,221,108
2024-09-02,S001,P001,Dairy,50.0,0,0,0,0,133,76
2024-09-03,S001,P001,Dairy,50.0,0,1,0,0,201,80
2024-09-04,S001,P001,Dairy,50.0,0,2,0,0,213,79
2024-09-05,S001,P001,Dairy,52.5,0,3,0,0,162,79
2024-09-06,S001,P001,Dairy,50.0,0,4,0,0,213,81
2024-09-07,S001,P001,Dairy,50.0,0,5,1,0,248,90
2024-09-08,S001,P001,Dairy,50.0,0,6,1,0,228,99
2024-09-09,S001,P001,Dairy,50.0,0,0,0,0,233,72
2024-09-10,S001,P001,Dairy,38.0,1,1,0,0,238,173
2024-09-11,S001,P001,Dairy,50.0,0,2,0,0,233,80
2024-09-12,S001,P001,Dairy,50.0,0,3,0,0,130,86
2024-09-13,S001,P001,Dairy,50.0,0,4,0,0,167,77
2024-09-14,S001,P001,Dairy,40.0,1,5,1,0,209,199
2024-09-15,S001,P001,Dairy,50.0,0,6,1,0,192,105
2024-09-16,S001,P001,Dairy,50.0,0,0,0,0,153,71
2024-09-17,S001,P001,Dairy,50.0,0,1,0,0,227,84
2024-09-18,S001,P001,Dairy,50.0,0,2,0,0,146,74
2024-09-19,S001,P001,Dairy,50.0,0,3,0,0,203,79
2024-09-20,S001,P001,Dairy,50.0,0,4,0,0,150,78
2024-09-21,S001,P001,Dairy,50.0,0,5,1,0,179,101
2024-09-22,S001,P001,Dairy,50.0,0,6,1,0,166,101
2024-09-23,S001,P001,Dairy,50.0,0,0,0,0,139,71
2024-09-24,S001,P001,Dairy,50.0,0,1,0,0,194,79
2024-09-25,S001,P001,Dairy,50.0,0,2,0,0,145,71
2024-09-26,S001,P001,Dairy,50.0,0,3,0,0,203,77
2024-09-27,S001,P001,Dairy,50.0,0,4,0,0,221,77
2024-09-28,S001,P001,Dairy,50.0,0,5,1,0,173,89
2024-09-29,S001,P001,Dairy,50.0,0,6,1,1,174,105
2024-09-30,S001,P001,Dairy,50.0,0,0,0,0,182,79
2024-10-01,S001,P001,Dairy,50.0,0,1,0,0,166,85
2024-10-02,S001,P001,Dairy,50.0,0,2,0,0,179,77
2024-10-03,S001,P001,Dairy,50.0,0,3,0,0,182,77
2024-10-04,S001,P001,Dairy,50.0,0,4,0,0,147,73
2024-10-05,S001,P001,Dairy,50.0,0,5,1,0,247,100
2024-10-06,S001,P001,Dairy,50.0,0,6,1,0,282,105
2024-10-07,S001,P001,Dairy,50.0,0,0,0,0,139,80
2024-10-08,S001,P001,Dairy,50.0,0,1,0,0,176,68
2024-10-09,S001,P001,Dairy,50.0,0,2,0,0,161,83
2024-10-10,S001,P001,Dairy,50.0,0,3,0,0,229,74
2024-10-11,S001,P001,Dairy,50.0,0,4,0,0,128,84
2024-10-12,S001,P001,Dairy,50.0,0,5,1,0,277,89
2024-10-13,S001,P001,Dairy,50.0,0,6,1,0,174,97
2024-10-14,S001,P001,Dairy,52.5,0,0,0,0,156,77
2024-10-15,S001,P001,Dairy,50.0,0,1,0,0,228,75
2024-10-16,S001,P001,Dairy,52.5,0,2,0,0,197,64
2024-10-17,S001,P001,Dairy,50.0,0,3,0,0,209,75
2024-10-18,S001,P001,Dairy,50.0,0,4,0,0,197,77
2024-10-19,S001,P001,Dairy,50.0,0,5,1,0,201,83
2024-10-20,S001,P001,Dairy,40.0,1,6,1,0,204,204
2024-10-21,S001,P001,Dairy,47.5,0,0,0,0,225,75
2024-10-22,S001,P001,Dairy,50.0,0,1,0,0,222,76
2024-10-23,S001,P001,Dairy,50.0,0,2,0,0,130,72
2024-10-24,S001,P001,Dairy,40.0,1,3,0,0,157,157
2024-10-25,S001,P001,Dairy,50.0,0,4,0,0,227,75
2024-10-26,S001,P001,Dairy,50.0,0,5,1,1,163,99
2024-10-27,S001,P001,Dairy,50.0,0,6,1,0,276,96
2024-10-28,S001,P001,Dairy,50.0,0,0,0,0,140,80
2024-10-29,S001,P001,Dairy,50.0,0,1,0,0,223,83
2024-10-30,S001,P001,Dairy,50.0,0,2,0,0,233,66
2024-10-31,S001,P001,Dairy,50.0,0,3,0,0,172,87
2024-11-01,S001,P001,Dairy,45.0,0,4,0,0,223,97
2024-11-02,S001,P001,Dairy,50.0,0,5,1,0,202,91
2024-11-03,S001,P001,Dairy,50.0,0,6,1,0,297,97
2024-11-04,S001,P001,Dairy,47.5,0,0,0,0,135,83
2024-11-05,S001,P001,Dairy,50.0,0,1,0,0,180,71
2024-11-06,S001,P001,Dairy,50.0,0,2,0,0,239,85
2024-11-07,S001,P001,Dairy,42.0,1,3,0,0,140,140
2024-11-08,S001,P001,Dairy,50.0,0,4,0,0,242,87
2024-11-09,S001,P001,Dairy,50.0,0,5,1,0,228,87
2024-11-10,S001,P001,Dairy,50.0,0,6,1,0,201,97
2024-11-11,S001,P001,Dairy,50.0,0,0,0,0,178,69
2024-11-12,S001,P001,Dairy,50.0,0,1,0,0,199,83
2024-11-13,S001,P001,Dairy,50.0,0,2,0,0,153,76
2024-11-14,S001,P001,Dairy,50.0,0,3,0,0,142,78
2024-11-15,S001,P001,Dairy,50.0,0,4,0,0,181,82
2024-11-16,S001,P001,Dairy,50.0,0,5,1,0,190,93
2024-11-17,S001,P001,Dairy,50.0,0,6,1,0,311,92
2024-11-18,S001,P001,Dairy,50.0,0,0,0,0,150,95
2024-11-19,S001,P001,Dairy,50.0,0,1,0,0,129,82
2024-11-20,S001,P001,Dairy,50.0,0,2,0,0,162,64
2024-11-21,S001,P001,Dairy,50.0,0,3,0,0,42,42
2024-11-22,S001,P001,Dairy,50.0,0,4,0,0,204,81
2024-11-23,S001,P001,Dairy,50.0,0,5,1,0,207,95
2024-11-24,S001,P001,Dairy,50.0,0,6,1,0,173,98
2024-11-25,S001,P001,Dairy,50.0,0,0,0,0,132,79
2024-11-26,S001,P001,Dairy,50.0,0,1,0,0,221,75
2024-11-27,S001,P001,Dairy,50.0,0,2,0,0,241,78
2024-11-28,S001,P001,Dairy,50.0,0,3,0,0,185,69
2024-11-29,S001,P001,Dairy,50.0,0,4,0,0,223,80
2024-11-30,S001,P001,Dairy,50.0,0,5,1,0,188,92
2024-12-01,S001,P001,Dairy,50.0,0,6,1,0,162,100
2024-12-02,S001,P001,Dairy,40.0,1,0,0,0,225,167
2024-12-03,S001,P001,Dairy,50.0,0,1,0,1,225,76
2024-12-04,S001,P001,Dairy,50.0,0,2,0,0,171,77
2024-12-05,S001,P001,Dairy,50.0,0,3,0,0,127,67
2024-12-06,S001,P001,Dairy,50.0,0,4,0,0,238,78
2024-12-07,S001,P001,Dairy,50.0,0,5,1,0,284,98
2024-12-08,S001,P001,Dairy,50.0,0,6,1,0,218,109
2024-12-09,S001,P001,Dairy,50.0,0,0,0,0,182,81
2024-12-10,S001,P001,Dairy,50.0,0,1,0,0,142,80
2024-12-11,S001,P001,Dairy,50.0,0,2,0,0,231,73
2024-12-12,S001,P001,Dairy,47.5,0,3,0,0,138,93
2024-12-13,S001,P001,Dairy,50.0,0,4,0,0,213,81
2024-12-14,S001,P001,Dairy,50.0,0,5,1,0,156,99
2024-12-15,S001,P001,Dairy,50.0,0,6,1,0,249,98
2024-12-16,S001,P001,Dairy,50.0,0,0,0,0,165,75
2024-12-17,S001,P001,Dairy,50.0,0,1,0,0,191,84
2024-12-18,S001,P001,Dairy,50.0,0,2,0,0,161,89
2024-12-19,S001,P001,Dairy,50.0,0,3,0,0,133,81
2024-12-20,S001,P001,Dairy,50.0,0,4,0,0,203,80
2024-12-21,S001,P001,Dairy,50.0,0,5,1,0,269,98
2024-12-22,S001,P001,Dairy,50.0,0,6,1,0,187,98
2024-12-23,S001,P001,Dairy,50.0,0,0,0,0,207,85
2024-12-24,S001,P001,Dairy,50.0,0,1,0,0,175,74
2024-12-25,S001,P001,Dairy,50.0,0,2,0,1,235,81
2024-12-26,S001,P001,Dairy,50.0,0,3,0,0,228,78
2024-12-27,S001,P001,Dairy,50.0,0,4,0,0,201,67
2024-12-28,S001,P001,Dairy,50.0,0,5,1,0,214,98
2024-12-29,S001,P001,Dairy,50.0,0,6,1,0,222,106
2024-12-30,S001,P001,Dairy,50.0,0,0,0,0,163,83
2024-12-31,S001,P001,Dairy,50.0,0,1,0,0,171,81
2025-01-01,S001,P001,Dairy,50.0,0,2,0,1,147,84
2025-01-02,S001,P001,Dairy,50.0,0,3,0,0,49,49
2025-01-03,S001,P001,Dairy,50.0,0,4,0,0,183,72
2025-01-04,S001,P001,Dairy,52.5,0,5,1,0,185,89
2025-01-05,S001,P001,Dairy,50.0,0,6,1,0,301,106
2025-01-06,S001,P001,Dairy,50.0,0,0,0,0,195,80
2025-01-07,S001,P001,Dairy,50.0,0,1,0,0,168,78
2025-01-08,S001,P001,Dairy,50.0,0,2,0,0,150,86
2025-01-09,S001,P001,Dairy,50.0,0,3,0,0,135,77
2025-01-10,S001,P001,Dairy,50.0,0,4,0,0,208,85
2025-01-11,S001,P001,Dairy,50.0,0,5,1,0,190,93
2025-01-12,S001,P001,Dairy,40.0,1,6,1,0,196,196
2025-01-13,S001,P001,Dairy,50.0,0,0,0,0,153,153
2025-01-14,S001,P001,Dairy,50.0,0,1,0,0,222,70
2025-01-15,S001,P001,Dairy,50.0,0,2,0,0,215,76
2025-01-16,S001,P001,Dairy,50.0,0,3,0,0,218,79
2025-01-17,S001,P001,Dairy,45.0,0,4,0,0,200,89
2025-01-18,S001,P001,Dairy,50.0,0,5,1,0,172,91
2025-01-19,S001,P001,Dairy,50.0,0,6,1,0,291,106
2025-01-20,S001,P001,Dairy,36.0,1,0,0,0,209,188
2025-01-21,S001,P001,Dairy,50.0,0,1,0,0,146,73
2025-01-22,S001,P001,Dairy,50.0,0,2,0,0,222,79
2025-01-23,S001,P001,Dairy,45.0,0,3,0,0,140,95
2025-01-24,S001,P001,Dairy,50.0,0,4,0,0,200,81
